NCID,NameC,NameE,NameF,Pinyin,PYA,Strokes,Description,ICF2,IDF2,TF2,MAX2,Boy,Girl,ScoreC,ScoreMax,ScoreAvg,ScoreMin,ScoreStd,IsFree
5414,思凡,思,凡,Si Fan,SF,12,诗词，相思凡几度。,440,1344,10792,834,0.4082,0.5918,80,96,84,76,5.4127,101
3739,子晴,子,晴,Zi Qing,ZQ,15,诗词，梅子黄时日日晴。,407,1334,15076,752,0.1486,0.8514,80,96,88,77,4.7829,100
4285,皓月,皓,月,Hao Yue,HY,16,诗词，清如皓月出云边。,431,1333,13343,1111,0.2673,0.7327,80,96,81,74,4.795,101
5528,佳蓉,佳,蓉,Jia Rong,JR,21,诗词，佳哉木芙蓉。,435,1330,10598,1535,0.0064,0.9936,83,96,88,80,4.8951,101
3029,思语,思,语,Si Yu,SY,18,诗词，锦书谁寄相思语。,467,1329,18390,1513,0.2065,0.7935,80,96,85,77,4.8083,101
3445,佩珊,佩,珊,Pei Shan,PS,17,诗词，环佩珊珊。,345,1329,16325,1705,0.0098,0.9902,80,96,84,77,4.6223,101
4653,怡宁,怡,宁,Yi Ning,YN,13,诗词，怡怡宁夏舞衣欢。,391,1329,12354,1507,0.2571,0.7429,81,96,89,79,4.8834,101
5936,文琳,文,琳,Wen Lin,WL,16,诗词，碧文金检佩琳琅。,355,1327,9875,599,0.1034,0.8966,82,96,89,78,4.8441,101
6292,蔚然,蔚,然,Wei Ran,WR,26,成语，蔚然成风。,347,1322,9376,882,0.3396,0.6604,79,96,83,77,4.2016,100
5157,卓君,卓,君,Zhuo Jun,ZJ,15,诗词，有卓君子。,337,1320,11275,739,0.306,0.694,82,96,85,77,5.0675,101
6504,雨亭,雨,亭,Yu Ting,YT,17,诗词，喜雨亭前黍稌秋。,402,1317,9084,489,0.3122,0.6878,80,96,87,79,4.3652,101
5241,嘉懿,嘉,懿,Jia Yi,JY,36,诗词，两汉名臣录嘉懿。,421,1316,11133,810,0.3211,0.6789,81,96,88,80,4.2946,101
4925,佳雨,佳,雨,Jia Yu,JY,16,诗词，佳雨散园芳。,433,1313,11702,938,0.3238,0.6762,82,96,89,79,4.6431,101
4476,若曦,若,曦,Ruo Xi,RX,28,诗词，秉心若明曦。,419,1312,12848,1236,0.2739,0.7261,80,96,85,78,4.5144,101
4520,佳瑶,佳,瑶,Jia Yao,JY,22,诗词，郁葱佳气盈瑶京。,416,1311,12728,1250,0.0449,0.9551,82,96,88,80,4.9602,11
3297,语嫣,语,嫣,Yu Yan,YY,23,诗词，含情不语自嫣然。,467,1298,16940,3667,0.0011,0.9989,80,96,85,79,3.4611,11
5802,文嘉,文,嘉,Wen Jia,WJ,18,诗词，文物彬彬正可嘉。,355,1298,10104,780,0.4517,0.5483,80,96,88,78,4.9795,101
4205,佳宜,佳,宜,Jia Yi,JY,16,诗词，晴色极佳宜岁事。,432,1297,13567,1177,0.192,0.808,83,96,89,80,4.5874,101
4363,梦怡,梦,怡,Meng Yi,MY,19,诗词，梦觉心自怡。,396,1296,13116,919,0.0121,0.9879,83,96,88,79,4.9962,101
5374,晨露,晨,露,Chen Lu,CL,32,诗词，晨露园葵鲜。,401,1289,10891,711,0.1134,0.8866,80,96,83,77,4.59,101
5703,雨琪,雨,琪,Yu Qi,YQ,20,诗词，微微花雨粘琪树。,430,1284,10269,756,0.1383,0.8617,83,96,89,79,4.7368,101
7960,雪枫,雪,枫,Xue Feng,XF,19,诗词，白雪芦花绛雪枫。,447,1281,7513,436,0.2343,0.7657,80,96,87,79,4.5107,101
5798,梦竹,梦,竹,Meng Zhu,MZ,17,诗词，青青云梦竹。,415,1276,10107,1133,0.0287,0.9713,79,95,84,78,4.5356,101
7366,文靖,文,靖,Wen Jing,WJ,17,诗词，文靖咏唐风。,357,1275,8080,466,0.4494,0.5506,79,96,88,79,4.3588,101
3368,诗婷,诗,婷,Shi Ting,ST,20,诗词，此诗不减花娉婷。,412,1272,16600,1292,0.0038,0.9962,82,96,87,79,5.0794,11
4300,欣颖,欣,颖,Xin Ying,XY,21,诗词，到此欣闻脱颖新。,399,1272,13295,2088,0.0338,0.9662,84,96,89,79,4.7986,11
4667,子悦,子,悦,Zi Yue,ZY,13,诗词，君子悦心。,416,1270,12311,1065,0.3725,0.6275,81,96,89,79,4.9894,101
4828,路遥,路,遥,Lu Yao,LY,26,诗词，路遥知马力。,404,1262,11887,1196,0.3759,0.6241,76,94,81,76,3.0254,100
6801,雅惠,雅,惠,Ya Hui,YH,24,诗词，雅章流惠见情深。,428,1262,8719,797,0.015,0.985,81,96,87,79,4.9022,100
5575,雅晴,雅,晴,Ya Qing,YQ,24,诗词，雅度如春晴。,378,1260,10527,877,0.0061,0.9939,80,96,87,80,4.5608,101
4454,冰倩,冰,倩,Bing Qian,BQ,16,诗词，冰玉天官倩。,394,1259,12911,1015,0.0035,0.9965,81,95,84,78,4.4837,101
5548,雅菲,雅,菲,Ya Fei,YF,23,诗词，雅游须莫负芳菲。,412,1257,10557,880,0.0044,0.9956,81,96,87,79,4.9122,101
5590,晨希,晨,希,Chen Xi,CX,18,诗词，徐徐晨光晞。,397,1256,10501,677,0.3818,0.6182,80,96,87,79,4.711,101
5328,梦宇,梦,宇,Meng Yu,MY,17,诗词，梦觉天宇新。,400,1250,10968,889,0.2837,0.7163,83,96,89,78,5.0238,101
4577,怡静,怡,静,Yi Jing,YJ,22,诗词，怡怡静退姿。,370,1249,12585,1490,0.0199,0.9801,83,96,89,80,4.7405,100
